id,name,type,description,:LABEL
N00000001,宁德时代,电池厂商,中国领先的电池制造商,电池厂商
N00000002,比亚迪,电池厂商,全球电动汽车电池制造商,电池厂商
N00000003,赣锋锂业,矿业公司,锂电池材料供应商,矿业公司
N00000004,格林美,回收企业,专业于电池回收,回收企业
N00000005,华友钴业,矿业公司,钴材料提供商,矿业公司
N00000006,邦普循环,回收企业,提供电池回收解决方案,回收企业
N00000007,Tesla,电池厂商,电动车及电池制造商,电池厂商
N00000008,BMW,电池行业参与者,制造电动车,电池材料
N00000009,Volkswagen,电池行业参与者,研发和制造电动车,电池应用方向
N00000010,Northvolt,电池厂商,瑞典电池制造商,电池厂商
N00000011,Redwood Materials,回收企业,专注于电池材料回收,回收企业
N00000012,Glencore,矿业公司,全球最大的矿业���司,矿业公司
N00000013,Vale,矿业公司,生产镍和钴,矿业公司
